Date,Quarter,Receipts,Expenditures,GDPD
1964-12-15,Q1 1965,118980,119954,17.658
1965-01-01,Q1 1965,118980,119954,17.658
1965-04-01,Q2 1965,120868,122907,17.739
1965-07-01,Q3 1965,119248,128665,17.808
1965-10-01,Q4 1965,122611,132243,17.93
1966-01-01,Q1 1966,131961,136056,18.046
1966-04-01,Q2 1966,136737,142395,18.193
1966-07-01,Q3 1966,139097,146957,18.369
1966-10-01,Q4 1966,141754,152091,18.523
1967-01-01,Q1 1967,142613,161919,18.6
1967-04-01,Q2 1967,143666,164163,18.695
1967-07-01,Q3 1967,147219,166058,18.874
1967-10-01,Q4 1967,151530,170992,19.084
1968-01-01,Q1 1968,160283,177285,19.295
1968-04-01,Q2 1968,165013,183665,19.499
1968-07-01,Q3 1968,176139,186229,19.69
1968-10-01,Q4 1968,180877,190202,19.968
1969-01-01,Q1 1969,190311,188097,20.174
1969-04-01,Q2 1969,193411,194972,20.431
1969-07-01,Q3 1969,191114,199772,20.718
1969-10-01,Q4 1969,192503,205097,20.985
1970-01-01,Q1 1970,186404,208693,21.28
1970-04-01,Q2 1970,187428,220110,21.577
1970-07-01,Q3 1970,183818,223370,21.754
1970-10-01,Q4 1970,182860,227603,22.042
1971-01-01,Q1 1971,187534,233120,22.376
1971-04-01,Q2 1971,190401,242896,22.67
1971-07-01,Q3 1971,190828,242609,22.901
1971-10-01,Q4 1971,194062,247782,23.092
1972-01-01,Q1 1972,213089,258846,23.443
1972-04-01,Q2 1972,216471,267560,23.589
1972-07-01,Q3 1972,219399,260264,23.815
1972-10-01,Q4 1972,227075,285409,24.118
1973-01-01,Q1 1973,242522,283042,24.396
1973-04-01,Q2 1973,246522,287360,24.771
1973-07-01,Q3 1973,249570,286911,25.254
1973-10-01,Q4 1973,258372,292909,25.757
1974-01-01,Q1 1974,265946,302072,26.243
1974-04-01,Q2 1974,276413,314483,26.863
1974-07-01,Q3 1974,287468,324454,27.65
1974-10-01,Q4 1974,284178,338388,28.463
1975-01-01,Q1 1975,277795,354024,29.11
1975-04-01,Q2 1975,244783,377665,29.543
1975-07-01,Q3 1975,288242,379106,30.065
1975-10-01,Q4 1975,296518,388241,30.568
1976-01-01,Q1 1976,312071,393991,30.891
1976-04-01,Q2 1976,318959,395709,31.202
1976-07-01,Q3 1976,326737,407495,31.605
1976-10-01,Q4 1976,332586,416741,32.172
1977-01-01,Q1 1977,347306,420834,32.69
1977-04-01,Q2 1977,361277,428835,33.151
1977-07-01,Q3 1977,367930,442980,33.554
1977-10-01,Q4 1977,378968,456618,34.279
1978-01-01,Q1 1978,386734,468330,34.778
1978-04-01,Q2 1978,416291,478557,35.443
1978-07-01,Q3 1978,436032,492031,36.044
1978-10-01,Q4 1978,456243,504542,36.782
1979-01-01,Q1 1979,466743,511805,37.452
1979-04-01,Q2 1979,480375,522934,38.37
1979-07-01,Q3 1979,494758,543290,39.208
1979-10-01,Q4 1979,506212,559516,39.936
1980-01-01,Q1 1980,517694,583861,40.775
1980-04-01,Q2 1980,515412,608694,41.745
1980-07-01,Q3 1980,535906,639968,42.678
1980-10-01,Q4 1980,565766,657298,43.79
1981-01-01,Q1 1981,605919,680243,44.943
1981-04-01,Q2 1981,616972,695699,45.834
1981-07-01,Q3 1981,635312,722114,46.696
1981-10-01,Q4 1981,626044,738484,47.503
1982-01-01,Q1 1982,616913,753575,48.157
1982-04-01,Q2 1982,624274,767553,48.783
1982-07-01,Q3 1982,615220,794534,49.475
1982-10-01,Q4 1982,618246,828404,49.987
1983-01-01,Q1 1983,622851,831494,50.364
1983-04-01,Q2 1983,649294,852517,50.739
1983-07-01,Q3 1983,644513,864300,51.278
1983-10-01,Q4 1983,662403,859457,51.667
1984-01-01,Q1 1984,692666,874942,52.19
1984-04-01,Q2 1984,706797,897828,52.636
1984-07-01,Q3 1984,714664,914311,53.104
1984-10-01,Q4 1984,730548,943661,53.501
1985-01-01,Q1 1985,781049,952096,54.03
1985-04-01,Q2 1985,745285,966688,54.378
1985-07-01,Q3 1985,784058,984669,54.706
1985-10-01,Q4 1985,792513,996430,55.012
1986-01-01,Q1 1986,800950,1007454,55.286
1986-04-01,Q2 1986,805141,1033105,55.495
1986-07-01,Q3 1986,819983,1052329,55.723
1986-10-01,Q4 1986,845559,1042504,56.026
1987-01-01,Q1 1987,847588,1045149,56.382
