Date,Debt Held by the Public,Federal Employee and Veteran Benefit Liabilities,Social Security Liabilities,Medicare Liabilities,FGRECPT,FGEXPND,GFDEBTN,CPI,Pop,local_debt_outstanding,state_debt_outstanding,pension_debt,GDPD
1999,0,0,0,0,0,0,0,0,0,0,0,0,0
2000,3409.9,2764.7,3845,9193,3139,3019.9,5662216,172.1916667,282398,903939398,547875824,717447,78.02075
2001,3319.8,3360.8,4207,12814,3125.2,3229.2,5943439,177.0416667,285225,977524377,576493534,1047804,79.782
2002,3573.2,3589.4,4562,13251,2969.1,3419.8,6405707,179.8666667,287955,1044581731,636795733,1444877,81.02425
2003,3944.9,3880,4927,15819,3045.4,3624,6997964,184,290626,1114737677,697929028,1344536,82.61875
2004,4329.4,4062.1,5229,28051,3275,3817.4,7596143,188.9083333,293262,1197045814,779542249,1416936,84.8365
2005,4624.2,4491.8,5704,29899,3678.7,4075.3,8170413,195.2666667,295993,1274174036,810851720,1596432,87.4985
2006,4867.5,4679,6449,32305,4013.1,4320.1,8680224,201.5583333,298818,1333984054,870031903,1543042,90.201
2007,5077.7,4769.1,6763,34085,4210.6,4599.6,9229172,207.3441667,301696,1474774645,936523700,1629817,92.638
2008,5836.2,5318.9,6555,36312,4126.2,4972,10699805,215.25425,304543,1546753348,1004180935,2695341,94.4225
2009,7582.7,5283.7,7677,38107,3699.5,5284,12311349,214.5646667,307240,1664562818,1048655489,2617191,95.02275
2010,9060,5720.3,7947,22813,3934.1,5560,14025215,218.0761667,309774,1728727112,1115462639,2854805,96.1615
2011,10174.1,5792.2,9157,24572,4130.3,5639.5,15222940,224.923,312010,1783473905,1139664136,3131852,98.161
2012,11332.3,6274,11278,27174,4311.6,5667.1,16432730,229.5860833,314212,1803747989,1146720479,3000985,99.9985
2013,12028.4,6538.3,12294,27302,4834.3,5731.4,17156119,232.95175,316357,1831342336,1138643440,3533384,101.7475
2014,12833.6,6672.6,13330,28483,5054.4,5889.7,18141444,236.715,318631,1827729716,1152281859,3722699,103.6485
2015,13172.5,6772.4,13440,27940,5288.5,6064.5,18922179,237.00175,320918,1833349837,1155113383,4075347,104.6895
2016,14221.1,7209.4,14100,32500,5336.1,6248.4,19976827,240.0054167,323186,1851876765,1170611576,4221631,105.73675
2017,14673.4,7700.1,15400,33500,5482.3,6433.6,20492747,245.1355,325220,1904677906,1156627748,4015608,107.74175
2018,15812.7,7982.3,16200,37700,5637.1,6761,21974096,251.1023333,326949,1958753531,1173489819,4488927,110.31675
2019,16861,8440.3,16800,42200,5897.5,7094,23201380,255.6525833,328527,1995950096,1174375288,4157580,112.29025
2020,21082.9,9409.3,19700,45700,5900.6,8934.4,27747798,258.8440833,330152,2039860998,1200211544,4037031,113.633
