Country,Code,year_00,year_01,year_02,year_03,year_04,year_05,year_06,year_07,year_08,year_09,year_10,year_11,year_12,year_13,year_14,year_15,year_16,year_17,year_18,year_19,year_20,year_21
Japan,JP,481.9797078,471.6561285,552.3668341,789.0922457,962.5325943,906.3422244,817.4060563,740.9527309,784.802275,953.8292926,1086.025553,1275.909245,1315.338552,1375.649453,1405.665617,1269.064298,1221.099743,1166.275197,1115.565746,1217.71581,1303.301706,1304
China,CN,91.48056777,116.6158279,172.9707304,227.7880666,310.9849475,419.3523725,520.8355494,610.2414628,911.9251994,1114.648624,1427.970354,1389.017918,1444.599684,1477.55803,1420.968176,1408.928209,1184.829453,1301.732743,1206.338914,1127.799641,1116.862798,1068.7
United Kingdom,GB,76.15795194,66.76478698,118.0408363,117.7621325,133.6579541,197.5014399,121.5151723,201.7527784,164.3571538,224.5989571,331.1128569,137.8285858,145.59633,177.0603355,205.2141615,234.1618105,243.1452733,274.5404782,309.0150379,413.3192254,458.9105184,647.4
Switzerland,CH,24.88028709,27.74447815,49.67064893,66.04421301,58.17887981,41.66468733,45.01047958,49.70350273,78.10412417,111.7389154,129.7371566,171.7129538,231.296934,205.5621635,217.0907741,261.9762988,257.4742765,274.2108978,246.6755459,250.352757,266.1181059,288
Taiwan,TW,50.67082858,52.37326623,54.63771382,72.92083389,94.73251653,92.12224698,77.94817746,48.80909523,90.01406285,145.1235635,191.0361167,213.7970977,231.296934,211.9605331,199.1616571,202.0507751,211.9125241,198.7369848,168.7780051,203.5499679,245.1827872,251
Hong Kong,HK,58.5597001,70.7706742,69.39281835,71.63146747,62.92248152,54.51580842,70.86197951,65.2917478,96.78392273,185.2349691,163.8331645,146.7518714,167.968449,184.738379,197.1060895,226.2471187,214.2633762,213.8976835,210.6237915,263.2129829,233.4131802,225.7
Singapore,SG,42.32682986,29.67323866,26.00404561,30.37174221,42.41338001,44.64073642,41.07370294,50.85345524,51.2754202,48.83127631,86.6555581,90.55928956,117.542403,100.2799009,125.6180176,124.7129295,114.408135,137.3251691,129.6146409,155.9038853,175.0859241,189.4
Canada,CA,21.5426876,22.84839377,15.19337497,34.66963026,46.45939323,37.74171352,35.29976387,23.89345761,NA,65.77273952,91.9484402,54.38380771,78.361602,65.03070142,78.79675652,81.86052669,92.80268489,94.58957651,103.2196064,151.0549477,124.8828215,202
France,FR,38.07897597,30.56343582,33.45464295,24.64122481,28.04305718,41.79996229,34.64363443,NA,21.06178629,37.99372264,18.46354221,53.90146795,60.842694,62.58768759,90.4449727,67.38794739,68.7344373,88.87684947,118.8849521,134.6107245,115.9254215,224.4
Thailand,TH,20.93585133,23.29349235,25.12750475,16.76176339,17.43971217,21.77926838,22.17717507,35.00966516,40.61915928,41.48167095,64.00694632,62.22182878,63.446856,60.14467376,37.91380169,44.2092071,73.88392283,66.90482241,77.25375948,95.3975769,83.32465156,62.2
Germany,DE,74.33744313,70.9190404,54.49162368,68.4796829,70.17740179,67.50220447,60.36390847,52.77004275,70.20595431,59.5442604,74.46962024,73.19505827,74.810472,78.29277648,83.02208984,84.34800126,92.13101286,79.42887783,71.45972752,82.53735106,78.53348409,83.4
Netherlands,NL,17.29483371,7.715042052,18.99171871,17.621341,22.32283158,21.23816854,27.16375881,19.42142009,19.30663744,25.41219481,27.94149388,26.16693187,37.87872,43.04357697,41.33974762,55.51590968,64.25662379,53.39202576,46.67414635,68.62300835,72.59660267,68.1
Mexico,MX,23.21148734,28.63467531,36.37644583,39.25404418,45.76180475,47.3462356,45.79783491,43.6981952,43.62798589,45.84160633,41.35833455,35.45197221,72.324681,75.73342866,96.84007178,81.63439264,52.72625402,42.95531291,50.21494366,47.75149429,51.45297234,46.2
Italy,IT,31.55548606,28.04121053,23.81269346,18.91070741,17.99778296,20.83234366,17.32181721,18.65478509,20.05884409,26.28418189,29.17239669,27.4933662,32.552025,35.24919952,36.42922511,39.12119093,44.66618971,38.67076763,43.13334905,47.75149429,40.72492345,42.4
Ireland,IE,NA,NA,10.22631007,21.34617731,22.60186698,26.6491669,15.22220301,23.89345761,68.07470213,54.31233794,56.25225859,114.7968624,122.040501,208.9358493,230.6803597,298.9492163,322.626463,358.8032019,300.32399,297.1555462,331.3196457,334.3
Luxembourg,LU,NA,NA,34.91554439,36.38878548,57.76032672,48.15788535,78.73553279,88.16302541,121.9828456,110.1195109,102.780385,177.8627857,183.119937,156.585553,196.1925039,225.6817835,251.0933923,239.0556544,247.3193272,268.3781556,299.6562782,323.5
Brazil,BR,NA,NA,18.55344828,16.90502632,21.20669,38.82391319,68.36868764,165.9764783,159.217075,210.7717335,221.1932357,273.6072277,299.833743,285.4836159,292.1189901,288.0947818,290.1623151,282.1208275,325.216868,297.0501345,269.0344687,244.5
Belgium,BE,NA,NA,18.99171871,20.62986263,23.71800856,22.99674301,17.84672077,16.86597008,19.93347631,21.55053776,40.86597342,163.0308382,164.298948,298.745691,383.0207556,137.6025704,134.7821865,130.9532813,198.60654,218.6238392,264.0349896,271.7
