Date,Quarter,Debt,Population,GDPD
1964-12-15,Q1 1965,317697,193467,17.658
1965-01-01,Q1 1965,317697,193467,17.658
1965-04-01,Q2 1965,317274,193994,17.739
1965-07-01,Q3 1965,316748,194647,17.808
1965-10-01,Q4 1965,320904,195279,17.93
1966-01-01,Q1 1966,320999,195763,18.046
1966-04-01,Q2 1966,316097,196277,18.193
1966-07-01,Q3 1966,324748,196877,18.369
1966-10-01,Q4 1966,329319,197481,18.523
1967-01-01,Q1 1967,330947,197967,18.6
1967-04-01,Q2 1967,322893,198455,18.695
1967-07-01,Q3 1967,335896,199012,18.874
1967-10-01,Q4 1967,344663,199572,19.084
1968-01-01,Q1 1968,349473,199995,19.295
1968-04-01,Q2 1968,345369,200452,19.499
1968-07-01,Q3 1968,354743,200997,19.69
1968-10-01,Q4 1968,358029,201538,19.968
1969-01-01,Q1 1969,359546,201955,20.174
1969-04-01,Q2 1969,352895,202419,20.431
1969-07-01,Q3 1969,360685,202986,20.718
1969-10-01,Q4 1969,368226,203584,20.985
1970-01-01,Q1 1970,372007,204086,21.28
1970-04-01,Q2 1970,370094,204721,21.577
1970-07-01,Q3 1970,378678,205419,21.754
1970-10-01,Q4 1970,389158,206130,22.042
1971-01-01,Q1 1971,391668,206763,22.376
1971-04-01,Q2 1971,397305,207362,22.67
1971-07-01,Q3 1971,412268,208000,22.901
1971-10-01,Q4 1971,424131,208642,23.092
1972-01-01,Q1 1972,427344,209142,23.443
1972-04-01,Q2 1972,426435,209637,23.589
1972-07-01,Q3 1972,433946,210181,23.815
1972-10-01,Q4 1972,448473,210737,24.118
1973-01-01,Q1 1973,458606,211192,24.396
1973-04-01,Q2 1973,457317,211663,24.771
1973-07-01,Q3 1973,460614,212191,25.254
1973-10-01,Q4 1973,469073,212708,25.757
1974-01-01,Q1 1974,473675,213144,26.243
1974-04-01,Q2 1974,474235,213602,26.863
1974-07-01,Q3 1974,481466,214147,27.65
1974-10-01,Q4 1974,492664,214700,28.463
1975-01-01,Q1 1975,509659,215135,29.11
1975-04-01,Q2 1975,533188,215652,29.543
1975-07-01,Q3 1975,553647,216289,30.065
1975-10-01,Q4 1975,576649,216848,30.568
1976-01-01,Q1 1976,600490,217314,30.891
1976-04-01,Q2 1976,620432,217776,31.202
1976-07-01,Q3 1976,634701,218338,31.605
1976-10-01,Q4 1976,653543,218917,32.172
1977-01-01,Q1 1977,669207,219427,32.69
1977-04-01,Q2 1977,674425,219956,33.151
1977-07-01,Q3 1977,698840,220573,33.554
1977-10-01,Q4 1977,718943,221201,34.279
1978-01-01,Q1 1978,737951,221719,34.778
1978-04-01,Q2 1978,749024,222281,35.443
1978-07-01,Q3 1978,771544,222933,36.044
1978-10-01,Q4 1978,789207,223583,36.782
1979-01-01,Q1 1979,796792,224152,37.452
1979-04-01,Q2 1979,804913,224737,38.37
1979-07-01,Q3 1979,826519,225418,39.208
1979-10-01,Q4 1979,845116,226117,39.936
1980-01-01,Q1 1980,863451,226754,40.775
1980-04-01,Q2 1980,877614,227389,41.745
1980-07-01,Q3 1980,907701,228070,42.678
1980-10-01,Q4 1980,930210,228689,43.79
1981-01-01,Q1 1981,964531,229155,44.943
1981-04-01,Q2 1981,971174,229674,45.834
1981-07-01,Q3 1981,997855,230301,46.696
1981-10-01,Q4 1981,1028729,230903,47.503
1982-01-01,Q1 1982,1061299,231395,48.157
1982-04-01,Q2 1982,1079630,231906,48.783
1982-07-01,Q3 1982,1142035,232498,49.475
1982-10-01,Q4 1982,1197074,233074,49.987
1983-01-01,Q1 1983,1244493,233546,50.364
1983-04-01,Q2 1983,1319581,234028,50.739
1983-07-01,Q3 1983,1377211,234603,51.278
1983-10-01,Q4 1983,1410702,235153,51.667
1984-01-01,Q1 1984,1463741,235605,52.19
1984-04-01,Q2 1984,1512697,236082,52.636
1984-07-01,Q3 1984,1572267,236657,53.104
1984-10-01,Q4 1984,1662966,237232,53.501
1985-01-01,Q1 1985,1710731,237673,54.03
1985-04-01,Q2 1985,1774640,238176,54.378
1985-07-01,Q3 1985,1823103,238789,54.706
1985-10-01,Q4 1985,1945942,239387,55.012
1986-01-01,Q1 1986,1986816,239861,55.286
1986-04-01,Q2 1986,2059349,240368,55.495
1986-07-01,Q3 1986,2125304,240962,55.723
1986-10-01,Q4 1986,2214835,241539,56.026
1987-01-01,Q1 1987,2246724,242009,56.382
1987-04-01,Q2 1987,2309296,242520,56.773
1987-07-01,Q3 1987,2350277,243120,57.202
1987-10-01,Q4 1987,2431715,243721,57.658
1988-01-01,Q1 1988,2487551,244208,58.11
1988-04-01,Q2 1988,2547656,244716,58.676
1988-07-01,Q3 1988,2602183,245354,59.377
1988-10-01,Q4 1988,2684392,245966,59.89
1989-01-01,Q1 1989,2740898,246460,60.515
1989-04-01,Q2 1989,2799923,247017,61.159
1989-07-01,Q3 1989,2857431,247698,61.606
1989-10-01,Q4 1989,2952994,248374,62.045
1990-01-01,Q1 1990,3051958,248936,62.714
1990-04-01,Q2 1990,3143754,249711,63.416
1990-07-01,Q3 1990,3233313,250595,63.96
1990-10-01,Q4 1990,3364820,251482,64.436
1991-01-01,Q1 1991,3465189,252258,65.067
1991-04-01,Q2 1991,3537988,253063,65.545
1991-07-01,Q3 1991,3665303,253965,66.057
1991-10-01,Q4 1991,3801698,254835,66.449
1992-01-01,Q1 1992,3881288,255585,66.696
1992-04-01,Q2 1992,3984656,256439,67.097
1992-07-01,Q3 1992,4064621,257386,67.425
1992-10-01,Q4 1992,4177009,258277,67.889
1993-01-01,Q1 1993,4230580,259039,68.27
